,Borough,Block,Lot,BIN, Building,Agency,2010 Score *,2010Source EUI (kBtu/ft²)*,2010 GHG Emissions Intensity (kgCO2e/ft²)*,2014 Score *,2014 Source EUI (kBtu/ft²)*,2014 GHG Emissions Intensity (kgCO2e/ft²)*,BBL
978,2.0,3248.0,62.0,2115783.0,X886,DOE,7,464.1,15.8,5,422.7,15.1,2032480062
979,2.0,3251.0,201.0,2095215.0,X440,DOE,78,118.7,7.1,95,108.1,6.5,2032510201
980,2.0,3251.0,201.0,2094706.0,X445,DOE,79,100.5,4.7,87,111.6,5.3,2032510201
981,2.0,3252.0,182.0,2015472.0,X095,DOE,76,128.5,6.3,39,143.3,6.2,2032520182
982,2.0,3253.0,141.0,2015547.0,X143,DOE,73,96.4,4.9,76,104.4,5.6,2032530141
983,2.0,3253.0,341.0,2103864.0,X360,DOE,51,179.3,5.9,47,185.5,6.2,2032530341
984,2.0,3278.0,14.0,2113630.0,X054,DOE,35,160.5,5.3,47,163.2,5.7,2032780014
985,2.0,3295.0,1.0,2094729.0,"X046 within (X046, X846)",DOE,63,140.5,5.9,81,128.4,5.2,2032950001
986,2.0,3295.0,1.0,2094729.0,"X846 within (X046, X846)",DOE,63,140.5,5.9,81,128.4,5.2,2032950001
987,2.0,3299.0,60.0,2094734.0,"X008 within (X008, X808)",DOE,51,116.4,5.4,82,117.9,5.7,2032990060
988,2.0,3299.0,60.0,2094734.0,"X808 within (X008, X808)",DOE,51,116.4,5.4,82,117.9,5.7,2032990060
989,2.0,3323.0,36.0,2017669.0,X825 (closed),DOE,72,134.3,4.4,Not Available,Not Available,0,2033230036
990,2.0,3329.0,124.0,2017858.0,X852,DOE,15,213.6,6.2,22,217.5,6.6,2033290124
991,2.0,3330.0,1.0,2086851.0,"X020 within (X020, X931)",DOE,4,241.8,8.2,5,235.2,8.5,2033300001
992,2.0,3330.0,1.0,2086851.0,"X931 within (X020, X931)",DOE,4,241.8,8.2,5,235.2,8.5,2033300001
993,2.0,3336.0,35.0,2018046.0,"X080 within (X080, X910)",DOE,52,148.8,7.2,66,140.9,6.4,2033360035
994,2.0,3351.0,1.0,2018457.0,"X056 within (X056, X865)",DOE,44,160.2,5.8,97,99.5,4.2,2033510001
995,2.0,3351.0,1.0,2018457.0,"X865 within (X056, X865)",DOE,44,160.2,5.8,97,99.5,4.2,2033510001
996,2.0,3353.0,40.0,2098420.0,X177,DOE,Not Available,Not Available,Not Available,Not Available,Not Available,5.3,2033530040
997,2.0,3356.0,36.0,2018628.0,X094,DOE,48,98,3.7,65,102.9,4.2,2033560036
998,2.0,3356.0,36.0,2115241.0,X361,DOE,Not Available,Not Available,Not Available,6,258.9,8.8,2033560036
999,2.0,3386.0,1.0,2019463.0,X019,DOE,84,115.3,4.2,84,126.7,5.4,2033860001
1000,2.0,3478.0,18.0,2020580.0,X174,DOE,17,100.3,4.4,96,93.8,4.3,2034780018
1001,2.0,3524.0,20.0,2021482.0,"X069 within (X069, X869)",DOE,66,122.9,5.6,53,145.1,6.7,2035240020
1002,2.0,3524.0,20.0,2021482.0,"X869 within (X069, X869)",DOE,66,122.9,5.6,53,145.1,6.7,2035240020
1003,2.0,3564.0,1.0,2021923.0,X182,DOE,44,123.7,5.1,66,105.2,4.6,2035640001
1004,2.0,3591.0,50.0,2021972.0,X107,DOE,35,86.1,3.6,76,99.5,4.1,2035910050
1005,2.0,3604.0,39.0,2022205.0,"X450 within (X450, X451, X922)",DOE,86,94.8,4.3,90,111.8,5.5,2036040039
1006,2.0,3609.0,16.0,2022289.0,"X138 within (X138, X938)",DOE,58,134.4,6.4,73,124.1,6.7,2036090016
1007,2.0,3622.0,16.0,2022544.0,X972,DOE,58,149.5,4.1,74,126.3,3.7,2036220016
1008,2.0,3641.0,1.0,2022550.0,X100,DOE,80,95.2,4.7,78,97.4,5.4,2036410001
1009,2.0,3644.0,1.0,2103869.0,X131,DOE,32,107.7,5.3,49,117.3,6.4,2036440001
1010,2.0,3652.0,1.0,2097341.0,"X093 within (X093, X893)",DOE,74,93.1,3.6,73,94.3,4.2,2036520001
1011,2.0,3652.0,1.0,2097341.0,"X893 within (X093, X893)",DOE,74,93.1,3.6,73,94.3,4.2,2036520001
1012,2.0,3711.0,1.0,2023336.0,X152,DOE,66,119.4,5.5,79,102,5.2,2037110001
1013,2.0,3718.0,1.0,2087014.0,X123,DOE,69,85.6,4,79,90.3,5.1,2037180001
1014,2.0,3718.0,1.0,2087014.0,X823,DOE,78,97.1,3.3,100,78.8,2.8,2037180001
1015,2.0,3775.0,25.0,2088553.0,"X077 within (X077, X976, X982)",DOE,12,150.8,6.6,61,149.1,6.8,2037750025
1016,2.0,3775.0,25.0,2088553.0,"X976 within (X077, X976, X982)",DOE,12,150.8,6.6,61,149.1,6.8,2037750025
1017,2.0,3775.0,25.0,2088553.0,"X982 within (X077, X976, X982)",DOE,12,150.8,6.6,61,149.1,6.8,2037750025
1018,2.0,3786.0,16.0,2025622.0,X047,DOE,13,137,5.3,57,134.6,5.7,2037860016
